 Date  ,Year,Month,State,City,Metro City,Age Group,Education_Level,Family Background,Labour Force,Employed People,Unemployed People,Male Unemployed,Female Unemployed,Unemployement Rate ,Urban Unemployement ,Rural Unemployement ,Youth Unemployement 
2020-01,2020,Jan,Andhra Pradesh,Bangalore,Yes,45-54,Secondary School,Lower Middle,22158458,21138197,1020261,631426,388835,4.60,3.77,4.77,10.36
2020-02,2020,Feb,Andhra Pradesh,Mumbai,Yes,45-54,Primary School,Lower Middle,21929496,19455122,2474374,1729171,745203,11.28,10.30,9.35,15.38
2020-03,2020,Mar,Andhra Pradesh,Kolkata,Yes,45-54,Higher Secondary,Rich,24175300,22740166,1435134,839432,595702,5.94,6.34,6.52,10.66
2020-04,2020,Apr,Andhra Pradesh,Non-Metro,No,45-54,Postgraduate,Lower Middle,22967531,21413767,1553764,857661,696103,6.77,6.92,4.81,9.69
2020-05,2020,May,Andhra Pradesh,Kolkata,Yes,18-24,Higher Secondary,Lower Middle,23335679,21338522,1997157,1348039,649118,8.56,9.55,7.49,12.64
2020-06,2020,Jun,Andhra Pradesh,Delhi,Yes,25-34,Higher Secondary,Lower Middle,23189603,22077012,1112591,642775,469816,4.80,4.98,5.58,9.71
2020-07,2020,Jul,Andhra Pradesh,Bangalore,Yes,55-60,Primary School,Upper Middle,23129877,21165753,1964124,1363447,600677,8.49,9.98,7.56,11.62
2020-08,2020,Aug,Andhra Pradesh,Mumbai,Yes,18-24,No Formal Education,Rich,23180338,22409167,771171,440445,330726,3.33,3.51,2.21,5.38
2020-09,2020,Sep,Andhra Pradesh,Non-Metro,No,25-34,No Formal Education,Rich,23751565,21786691,1964874,1259275,705599,8.27,9.86,8.14,11.60
2020-10,2020,Oct,Andhra Pradesh,Ahmedabad,Yes,55-60,Secondary School,Rich,22074402,20929501,1144901,683102,461799,5.19,6.10,5.85,9.08
2020-11,2020,Nov,Andhra Pradesh,Pune,Yes,35-44,No Formal Education,Upper Middle,23683726,21854568,1829158,1160036,669122,7.72,8.01,5.80,10.15
2020-12,2020,Dec,Andhra Pradesh,Chennai,Yes,55-60,Higher Secondary,Lower Middle,22000242,20744081,1256161,810803,445358,5.71,5.13,5.52,9.87
2021-01,2021,Jan,Andhra Pradesh,Non-Metro,No,55-60,Postgraduate,Rich,23959975,21505075,2454900,1580104,874796,10.25,11.66,8.81,15.82
2021-02,2021,Feb,Andhra Pradesh,Non-Metro,No,18-24,No Formal Education,Poor,23172596,21168754,2003842,1344810,659032,8.65,9.59,6.65,12.06
2021-03,2021,Mar,Andhra Pradesh,Mumbai,Yes,35-44,Primary School,Rich,23160472,21942373,1218099,758540,459559,5.26,4.99,3.76,8.13
2021-04,2021,Apr,Andhra Pradesh,Mumbai,Yes,25-34,Higher Secondary,Rich,23215897,21826028,1389869,848619,541250,5.99,5.74,5.48,9.19
2021-05,2021,May,Andhra Pradesh,Mumbai,Yes,18-24,Secondary School,Lower Middle,22046520,20476707,1569813,929010,640803,7.12,6.56,6.59,13.06
2021-06,2021,Jun,Andhra Pradesh,Non-Metro,No,35-44,No Formal Education,Upper Middle,22486405,19804568,2681837,1745394,936443,11.93,13.34,11.34,17.86
2021-07,2021,Jul,Andhra Pradesh,Non-Metro,No,55-60,Secondary School,Rich,23770421,21527421,2243000,1284358,958642,9.44,9.41,8.10,14.28
2021-08,2021,Aug,Andhra Pradesh,Pune,Yes,45-54,No Formal Education,Poor,23796171,22315792,1480379,891632,588747,6.22,6.41,5.77,11.57
2021-09,2021,Sep,Andhra Pradesh,Non-Metro,No,35-44,Higher Secondary,Rich,22410273,20317509,2092764,1320988,771776,9.34,10.79,9.00,13.46
2021-10,2021,Oct,Andhra Pradesh,Bangalore,Yes,55-60,Secondary School,Upper Middle,22485936,20519174,1966762,1109185,857577,8.75,8.76,7.79,13.65
2021-11,2021,Nov,Andhra Pradesh,Hyderabad,Yes,45-54,Postgraduate,Upper Middle,22121908,20300107,1821801,1046158,775643,8.24,8.35,9.06,14.13
2021-12,2021,Dec,Andhra Pradesh,Delhi,Yes,35-44,Undergraduate,Poor,22583038,20452523,2130515,1269370,861145,9.43,8.96,7.49,13.41
2022-01,2022,Jan,Andhra Pradesh,Mumbai,Yes,45-54,Secondary School,Upper Middle,23645377,22208934,1436443,945382,491061,6.07,6.98,4.83,10.43
2022-02,2022,Feb,Andhra Pradesh,Ahmedabad,Yes,35-44,Secondary School,Lower Middle,24187158,23032220,1154938,719539,435399,4.78,4.83,4.71,9.45
2022-03,2022,Mar,Andhra Pradesh,Mumbai,Yes,18-24,Higher Secondary,Rich,23079926,21636563,1443363,917691,525672,6.25,6.66,5.09,11.79
2022-04,2022,Apr,Andhra Pradesh,Mumbai,Yes,55-60,Secondary School,Rich,23653567,21759580,1893987,1312458,581529,8.01,9.57,6.89,11.55
2022-05,2022,May,Andhra Pradesh,Hyderabad,Yes,25-34,Secondary School,Rich,22318918,20955909,1363009,863493,499516,6.11,5.32,4.73,10.79
2022-06,2022,Jun,Andhra Pradesh,Non-Metro,No,25-34,Primary School,Poor,22755519,20772877,1982642,1166040,816602,8.71,10.26,7.12,13.55
2022-07,2022,Jul,Andhra Pradesh,Ahmedabad,Yes,55-60,Higher Secondary,Lower Middle,22896627,22119007,777620,457575,320045,3.40,2.41,3.28,6.17
2022-08,2022,Aug,Andhra Pradesh,Kolkata,Yes,45-54,Primary School,Lower Middle,22091442,20338391,1753051,1068515,684536,7.94,8.25,7.95,11.25
2022-09,2022,Sep,Andhra Pradesh,Hyderabad,Yes,35-44,Higher Secondary,Poor,22505323,20862510,1642813,913116,729697,7.30,7.87,7.61,10.16
